sampleID	dip_depth	ref_genome	settings
LP0025_15_L003	-0.12	0memhg38noalt	False40
LP0029_06_L003	-1.6	0memhg38noalt	False40
LP0025_24_L003	0.48	0memhg38noalt	False40
LP0025_04_L004	0.77	0memhg38noalt	False40
LP0026_07_L003	0.22	0memhg38noalt	False40
LP0029_05_L004	-0.7	0memhg38noalt	False40
LP0020_01	-0.3	0memhg38noalt	False40
LP0025_08_L004	0.17	0memhg38noalt	False40
LP0020_04.sortByCoord	-0.03	0memhg38noalt	False40
LP0028_01_L004	-0.68	0memhg38noalt	False40
LP0025_11_L003	0.94	0memhg38noalt	FalseDI26830XA
LP0025_06_L003	-0.15	0memhg38noalt	FalseDI26830XA
LP0030_05_L004	0.16	0memhg38noalt	FalseDI26830XA
LP0030_03_L004	-0.97	0memhg38noalt	FalseDI26830XA
LP0020_03	-0.12	0memhg38noalt	FalseDI26830XA
LP0020_06	2.28	0memhg38noalt	FalseDI26830XA
LP0025_07_L004	0.77	0memhg38noalt	FalseDI26830XA
LP0025_12_L003	-1.19	0memhg38noalt	FalseDI26830XA
LP0025_17_L003	-1.59	0memhg38noalt	FalseDI26830XA
LP0026_22_L003	0.15	0memhg38noalt	FalseDI26830XA
LP0025_05_L003	-0.39	0memhg38noalt	FalseDI26830XA
LP0027_39_L003	-0.3	0memhg38noalt	FalseDI26830XA
LP0025_03_L003	0.78	0memhg38noalt	FalseDI26830XA
LP0020_07	0.24	0memhg38noalt	FalseDI26830XA
LP0026_05_L003	0.5	0memhg38noalt	FalseDI26830XA
LP0025_01_L004	0.51	0memhg38noalt	FalseDI26830XA
LP0025_21_L004	0.35	0memhg38noalt	FalseDI26830XA
LP0027_26_L003	0.52	0memhg38noalt	FalseDI26830XA
LP0020_08	-0.45	0memhg38noalt	FalseDI26830XA
LP0027_35_L003	0.74	0memhg38noalt	FalseDI26830XA
LP0026_42_L004	1.3	0memhg38noalt	FalseDI26830XA
LP0026_38_L004	1.71	0memhg38noalt	FalseDI26830XA
LP0025_02_L004	-0.0	0memhg38noalt	FalseDI26830XA
LP0026_08_L003	0.25	0memhg38noalt	FalseDI26830XA
LP0025_10_L003	-0.24	0memhg38noalt	FalseDI26830XA
LP0029_02_L004	-1.15	0memhg38noalt	FalseDI26830XA
LP0020_02	0.88	0memhg38noalt	FalseDI26830XA
LP0029_04_L003	-2.11	0memhg38noalt	FalseDI26830XA
LP0020_05	0.95	0memhg38noalt	FalseDI26830XA
LP0026_26_L004	0.3	0memhg38noalt	FalseDI26830XA
LP0025_15_L003	-0.03	0memhg38noalt	FalseDI26830XA
LP0029_06_L003	-1.47	0memhg38noalt	FalseDI26830XA
LP0025_24_L003	0.7	0memhg38noalt	FalseDI26830XA
LP0025_04_L004	0.81	0memhg38noalt	FalseDI26830XA
LP0026_07_L003	0.3	0memhg38noalt	FalseDI26830XA
LP0029_05_L004	-0.79	0memhg38noalt	FalseDI26830XA
LP0020_01	-0.38	0memhg38noalt	FalseDI26830XA
LP0025_08_L004	0.12	0memhg38noalt	FalseDI26830XA
LP0020_04	-0.06	0memhg38noalt	FalseDI26830XA
LP0028_01_L004	-0.54	0memhg38noalt	FalseDI26830XA
LP0025_11_L003	0.9	0memhg38noalt	True40
LP0025_06_L003	0.24	0memhg38noalt	True40
LP0030_05_L004	0.22	0memhg38noalt	True40
LP0030_03_L004	-0.56	0memhg38noalt	True40
LP0020_03	-0.69	0memhg38noalt	True40
LP0020_06	1.79	0memhg38noalt	True40
LP0025_07_L004	0.9	0memhg38noalt	True40
LP0025_12_L003	-0.64	0memhg38noalt	True40
LP0025_17_L003	-1.86	0memhg38noalt	True40
LP0026_22_L003	0.41	0memhg38noalt	True40
LP0025_05_L003	-0.47	0memhg38noalt	True40
LP0027_39_L003	-0.24	0memhg38noalt	True40
LP0025_03_L003	0.7	0memhg38noalt	True40
LP0020_07	0.77	0memhg38noalt	True40
LP0026_05_L003	0.71	0memhg38noalt	True40
LP0025_01_L004	0.69	0memhg38noalt	True40
LP0025_21_L004	0.31	0memhg38noalt	True40
LP0027_26_L003	0.66	0memhg38noalt	True40
LP0020_08	-0.26	0memhg38noalt	True40
LP0027_35_L003	1.04	0memhg38noalt	True40
LP0026_42_L004	1.27	0memhg38noalt	True40
LP0026_38_L004	2.03	0memhg38noalt	True40
LP0025_02_L004	-0.03	0memhg38noalt	True40
LP0026_08_L003	0.39	0memhg38noalt	True40
LP0025_10_L003	-0.31	0memhg38noalt	True40
LP0029_02_L004	-1.32	0memhg38noalt	True40
LP0020_02	1.52	0memhg38noalt	True40
LP0029_04_L003	-1.97	0memhg38noalt	True40
LP0020_05	-0.08	0memhg38noalt	True40
LP0026_26_L004	0.29	0memhg38noalt	True40
LP0025_15_L003	0.14	0memhg38noalt	True40
LP0029_06_L003	-1.78	0memhg38noalt	True40
LP0025_24_L003	0.33	0memhg38noalt	True40
LP0025_04_L004	0.75	0memhg38noalt	True40
LP0026_07_L003	0.35	0memhg38noalt	True40
LP0029_05_L004	-0.82	0memhg38noalt	True40
LP0020_01	-0.23	0memhg38noalt	True40
LP0025_08_L004	0.07	0memhg38noalt	True40
LP0020_04	0.32	0memhg38noalt	True40
LP0028_01_L004	-0.52	0memhg38noalt	True40
LP0025_11_L003	1.08	0memhg38noalt	TrueDI26830XA
LP0025_06_L003	0.27	0memhg38noalt	TrueDI26830XA
LP0030_05_L004	0.66	0memhg38noalt	TrueDI26830XA
LP0030_03_L004	-0.81	0memhg38noalt	TrueDI26830XA
LP0020_03	0.03	0memhg38noalt	TrueDI26830XA
LP0020_06	1.57	0memhg38noalt	TrueDI26830XA
LP0025_07_L004	0.86	0memhg38noalt	TrueDI26830XA
LP0025_12_L003	-1.23	0memhg38noalt	TrueDI26830XA
LP0025_17_L003	-1.32	0memhg38noalt	TrueDI26830XA
LP0026_22_L003	0.43	0memhg38noalt	TrueDI26830XA
LP0025_05_L003	-0.5	0memhg38noalt	TrueDI26830XA
LP0027_39_L003	-0.58	0memhg38noalt	TrueDI26830XA
LP0025_03_L003	0.61	0memhg38noalt	TrueDI26830XA
LP0020_07	0.37	0memhg38noalt	TrueDI26830XA
LP0026_05_L003	0.7	0memhg38noalt	TrueDI26830XA
LP0025_01_L004	0.63	0memhg38noalt	TrueDI26830XA
LP0025_21_L004	0.03	0memhg38noalt	TrueDI26830XA
LP0027_26_L003	0.69	0memhg38noalt	TrueDI26830XA
LP0020_08	-0.56	0memhg38noalt	TrueDI26830XA
LP0027_35_L003	0.92	0memhg38noalt	TrueDI26830XA
LP0026_42_L004	1.42	0memhg38noalt	TrueDI26830XA
LP0026_38_L004	1.69	0memhg38noalt	TrueDI26830XA
LP0025_02_L004	-0.43	0memhg38noalt	TrueDI26830XA
LP0026_08_L003	0.28	0memhg38noalt	TrueDI26830XA
LP0025_10_L003	-0.09	0memhg38noalt	TrueDI26830XA
LP0029_02_L004	-1.25	0memhg38noalt	TrueDI26830XA
LP0020_02	0.69	0memhg38noalt	TrueDI26830XA
LP0029_04_L003	-2.35	0memhg38noalt	TrueDI26830XA
LP0020_05	0.35	0memhg38noalt	TrueDI26830XA
LP0026_26_L004	0.21	0memhg38noalt	TrueDI26830XA
LP0025_15_L003	-0.18	0memhg38noalt	TrueDI26830XA
LP0029_06_L003	-1.48	0memhg38noalt	TrueDI26830XA
LP0025_24_L003	0.63	0memhg38noalt	TrueDI26830XA
LP0025_04_L004	1.01	0memhg38noalt	TrueDI26830XA
LP0026_07_L003	0.12	0memhg38noalt	TrueDI26830XA
LP0029_05_L004	-0.61	0memhg38noalt	TrueDI26830XA
LP0020_01	-0.72	0memhg38noalt	TrueDI26830XA
LP0025_08_L004	0.23	0memhg38noalt	TrueDI26830XA
LP0020_04	1.2	0memhg38noalt	TrueDI26830XA
LP0028_01_L004	-0.52	0memhg38noalt	TrueDI26830XA
LP0025_11_L003	0.97	30memhg19	False40
LP0025_06_L003	-0.06	30memhg19	False40
LP0030_05_L004	0.1	30memhg19	False40
LP0030_03_L004	-0.98	30memhg19	False40
LP0020_03	-0.02	30memhg19	False40
LP0020_06	1.95	30memhg19	False40
LP0025_07_L004	0.83	30memhg19	False40
LP0025_12_L003	-1.21	30memhg19	False40
LP0025_17_L003	-1.88	30memhg19	False40
LP0026_22_L003	0.59	30memhg19	False40
LP0025_05_L003	-0.4	30memhg19	False40
LP0027_39_L003	-0.25	30memhg19	False40
LP0025_03_L003	0.68	30memhg19	False40
LP0020_07	0.25	30memhg19	False40
LP0026_05_L003	0.45	30memhg19	False40
LP0025_01_L004	0.7	30memhg19	False40
LP0025_21_L004	0.21	30memhg19	False40
LP0027_26_L003	0.46	30memhg19	False40
LP0020_08	-0.35	30memhg19	False40
LP0027_35_L003	0.77	30memhg19	False40
LP0026_42_L004	1.37	30memhg19	False40
LP0026_38_L004	1.62	30memhg19	False40
LP0025_02_L004	-0.13	30memhg19	False40
LP0026_08_L003	0.2	30memhg19	False40
LP0025_10_L003	-0.34	30memhg19	False40
LP0029_02_L004	-1.21	30memhg19	False40
LP0020_02	0.74	30memhg19	False40
LP0029_04_L003	-2.17	30memhg19	False40
LP0020_05	1.04	30memhg19	False40
LP0026_26_L004	0.27	30memhg19	False40
LP0025_15_L003	0.2	30memhg19	False40
LP0029_06_L003	-1.72	30memhg19	False40
LP0025_24_L003	0.48	30memhg19	False40
LP0025_04_L004	0.96	30memhg19	False40
LP0026_07_L003	0.36	30memhg19	False40
LP0029_05_L004	-0.73	30memhg19	False40
LP0020_01	-0.25	30memhg19	False40
LP0025_08_L004	0.29	30memhg19	False40
LP0020_04	0.03	30memhg19	False40
LP0028_01_L004	-0.64	30memhg19	False40
LP0025_11_L003	1.12	30memhg19	FalseDI26830XA
LP0025_06_L003	0.07	30memhg19	FalseDI26830XA
LP0030_05_L004	-0.02	30memhg19	FalseDI26830XA
LP0030_03_L004	-1.03	30memhg19	FalseDI26830XA
LP0020_03	-0.13	30memhg19	FalseDI26830XA
LP0020_06	1.88	30memhg19	FalseDI26830XA
LP0025_07_L004	0.76	30memhg19	FalseDI26830XA
LP0025_12_L003	-1.07	30memhg19	FalseDI26830XA
LP0025_17_L003	-1.64	30memhg19	FalseDI26830XA
LP0026_22_L003	0.5	30memhg19	FalseDI26830XA
LP0025_05_L003	-0.45	30memhg19	FalseDI26830XA
LP0027_39_L003	-0.19	30memhg19	FalseDI26830XA
LP0025_03_L003	0.87	30memhg19	FalseDI26830XA
LP0020_07	0.24	30memhg19	FalseDI26830XA
LP0026_05_L003	0.28	30memhg19	FalseDI26830XA
LP0025_01_L004	0.68	30memhg19	FalseDI26830XA
LP0025_21_L004	0.28	30memhg19	FalseDI26830XA
LP0027_26_L003	0.44	30memhg19	FalseDI26830XA
LP0020_08	-0.27	30memhg19	FalseDI26830XA
LP0027_35_L003	0.58	30memhg19	FalseDI26830XA
LP0026_42_L004	1.14	30memhg19	FalseDI26830XA
LP0026_38_L004	1.5	30memhg19	FalseDI26830XA
LP0025_02_L004	-0.15	30memhg19	FalseDI26830XA
LP0026_08_L003	0.18	30memhg19	FalseDI26830XA
LP0025_10_L003	-0.25	30memhg19	FalseDI26830XA
LP0029_02_L004	-1.22	30memhg19	FalseDI26830XA
LP0020_02	0.82	30memhg19	FalseDI26830XA
LP0029_04_L003	-2.17	30memhg19	FalseDI26830XA
LP0020_05	1.18	30memhg19	FalseDI26830XA
LP0026_26_L004	0.42	30memhg19	FalseDI26830XA
LP0025_15_L003	0.17	30memhg19	FalseDI26830XA
LP0029_06_L003	-1.55	30memhg19	FalseDI26830XA
LP0025_24_L003	0.45	30memhg19	FalseDI26830XA
LP0025_04_L004	0.96	30memhg19	FalseDI26830XA
LP0026_07_L003	0.19	30memhg19	FalseDI26830XA
LP0029_05_L004	-0.83	30memhg19	FalseDI26830XA
LP0020_01	-0.06	30memhg19	FalseDI26830XA
LP0025_08_L004	0.28	30memhg19	FalseDI26830XA
LP0020_04	-0.24	30memhg19	FalseDI26830XA
LP0028_01_L004	-0.47	30memhg19	FalseDI26830XA
LP0025_11_L003	1.08	30memhg19	True40
LP0025_06_L003	0.25	30memhg19	True40
LP0030_05_L004	0.26	30memhg19	True40
LP0030_03_L004	-0.6	30memhg19	True40
LP0020_03	-0.15	30memhg19	True40
LP0020_06	1.56	30memhg19	True40
LP0025_07_L004	0.8	30memhg19	True40
LP0025_12_L003	-1.48	30memhg19	True40
LP0025_17_L003	-2.11	30memhg19	True40
LP0026_22_L003	0.6	30memhg19	True40
LP0025_05_L003	-0.26	30memhg19	True40
LP0027_39_L003	-0.39	30memhg19	True40
LP0025_03_L003	0.49	30memhg19	True40
LP0020_07	0.4	30memhg19	True40
LP0026_05_L003	0.42	30memhg19	True40
LP0025_01_L004	1.2	30memhg19	True40
LP0025_21_L004	0.14	30memhg19	True40
LP0027_26_L003	0.35	30memhg19	True40
LP0020_08	0.03	30memhg19	True40
LP0027_35_L003	1.02	30memhg19	True40
LP0026_42_L004	1.74	30memhg19	True40
LP0026_38_L004	2.15	30memhg19	True40
LP0025_02_L004	-0.16	30memhg19	True40
LP0026_08_L003	0.01	30memhg19	True40
LP0025_10_L003	-0.49	30memhg19	True40
LP0029_02_L004	-1.28	30memhg19	True40
LP0020_02	0.83	30memhg19	True40
LP0029_04_L003	-2.32	30memhg19	True40
LP0020_05	0.52	30memhg19	True40
LP0026_26_L004	0.26	30memhg19	True40
LP0025_15_L003	0.53	30memhg19	True40
LP0029_06_L003	-1.54	30memhg19	True40
LP0025_24_L003	0.36	30memhg19	True40
LP0025_04_L004	1.36	30memhg19	True40
LP0026_07_L003	0.27	30memhg19	True40
LP0029_05_L004	-0.96	30memhg19	True40
LP0020_01	-0.63	30memhg19	True40
LP0025_08_L004	-0.08	30memhg19	True40
LP0020_04	0.27	30memhg19	True40
LP0028_01_L004	-1.06	30memhg19	True40
LP0025_11_L003	1.56	30memhg19	TrueDI26830XA
LP0025_06_L003	-0.07	30memhg19	TrueDI26830XA
LP0030_05_L004	0.13	30memhg19	TrueDI26830XA
LP0030_03_L004	-0.92	30memhg19	TrueDI26830XA
LP0020_03	0.69	30memhg19	TrueDI26830XA
LP0020_06	1.35	30memhg19	TrueDI26830XA
LP0025_07_L004	0.81	30memhg19	TrueDI26830XA
LP0025_12_L003	-1.11	30memhg19	TrueDI26830XA
LP0025_17_L003	-2.04	30memhg19	TrueDI26830XA
LP0026_22_L003	0.24	30memhg19	TrueDI26830XA
LP0025_05_L003	-0.66	30memhg19	TrueDI26830XA
LP0027_39_L003	-0.31	30memhg19	TrueDI26830XA
LP0025_03_L003	0.6	30memhg19	TrueDI26830XA
LP0020_07	0.04	30memhg19	TrueDI26830XA
LP0026_05_L003	0.54	30memhg19	TrueDI26830XA
LP0025_01_L004	0.77	30memhg19	TrueDI26830XA
LP0025_21_L004	0.27	30memhg19	TrueDI26830XA
LP0027_26_L003	0.77	30memhg19	TrueDI26830XA
LP0020_08	-0.16	30memhg19	TrueDI26830XA
LP0027_35_L003	0.97	30memhg19	TrueDI26830XA
LP0026_42_L004	1.26	30memhg19	TrueDI26830XA
LP0026_38_L004	1.53	30memhg19	TrueDI26830XA
LP0025_02_L004	0.08	30memhg19	TrueDI26830XA
LP0026_08_L003	0.31	30memhg19	TrueDI26830XA
LP0025_10_L003	0.05	30memhg19	TrueDI26830XA
LP0029_02_L004	-1.14	30memhg19	TrueDI26830XA
LP0020_02	0.56	30memhg19	TrueDI26830XA
LP0029_04_L003	-2.29	30memhg19	TrueDI26830XA
LP0020_05	0.59	30memhg19	TrueDI26830XA
LP0026_26_L004	0.39	30memhg19	TrueDI26830XA
LP0025_15_L003	-0.03	30memhg19	TrueDI26830XA
LP0029_06_L003	-1.84	30memhg19	TrueDI26830XA
LP0025_24_L003	0.38	30memhg19	TrueDI26830XA
LP0025_04_L004	0.79	30memhg19	TrueDI26830XA
LP0026_07_L003	0.13	30memhg19	TrueDI26830XA
LP0029_05_L004	-0.95	30memhg19	TrueDI26830XA
LP0020_01	-0.26	30memhg19	TrueDI26830XA
LP0025_08_L004	-0.23	30memhg19	TrueDI26830XA
LP0020_04	1.39	30memhg19	TrueDI26830XA
LP0028_01_L004	-0.48	30memhg19	TrueDI26830XA
LP0025_11_L003	1.0	30memhg19decoy	False40
LP0025_06_L003	-0.1	30memhg19decoy	False40
LP0030_05_L004	0.05	30memhg19decoy	False40
LP0030_03_L004	-0.88	30memhg19decoy	False40
LP0020_03	-0.09	30memhg19decoy	False40
LP0020_06	2.06	30memhg19decoy	False40
LP0025_07_L004	0.89	30memhg19decoy	False40
LP0025_12_L003	-1.22	30memhg19decoy	False40
LP0025_17_L003	-1.58	30memhg19decoy	False40
LP0026_22_L003	0.62	30memhg19decoy	False40
LP0025_05_L003	-0.2	30memhg19decoy	False40
LP0027_39_L003	-0.03	30memhg19decoy	False40
LP0025_03_L003	0.44	30memhg19decoy	False40
LP0020_07	0.33	30memhg19decoy	False40
LP0026_05_L003	0.67	30memhg19decoy	False40
LP0025_01_L004	0.72	30memhg19decoy	False40
LP0025_21_L004	0.25	30memhg19decoy	False40
LP0027_26_L003	0.51	30memhg19decoy	False40
LP0020_08	-0.17	30memhg19decoy	False40
LP0027_35_L003	0.83	30memhg19decoy	False40
LP0026_42_L004	1.59	30memhg19decoy	False40
LP0026_38_L004	1.76	30memhg19decoy	False40
LP0025_02_L004	-0.21	30memhg19decoy	False40
LP0026_08_L003	0.2	30memhg19decoy	False40
LP0025_10_L003	-0.33	30memhg19decoy	False40
LP0029_02_L004	-1.49	30memhg19decoy	False40
LP0020_02	0.73	30memhg19decoy	False40
LP0029_04_L003	-2.07	30memhg19decoy	False40
LP0020_05	1.0	30memhg19decoy	False40
LP0026_26_L004	0.3	30memhg19decoy	False40
LP0025_15_L003	0.34	30memhg19decoy	False40
LP0029_06_L003	-1.51	30memhg19decoy	False40
LP0025_24_L003	0.4	30memhg19decoy	False40
LP0025_04_L004	1.18	30memhg19decoy	False40
LP0026_07_L003	0.21	30memhg19decoy	False40
LP0029_05_L004	-0.71	30memhg19decoy	False40
LP0020_01	-0.2	30memhg19decoy	False40
LP0025_08_L004	0.09	30memhg19decoy	False40
LP0020_04	-0.14	30memhg19decoy	False40
LP0028_01_L004	-0.75	30memhg19decoy	False40
LP0025_11_L003	1.05	30memhg19decoy	FalseDI26830XA
LP0025_06_L003	-0.06	30memhg19decoy	FalseDI26830XA
LP0030_05_L004	0.02	30memhg19decoy	FalseDI26830XA
LP0030_03_L004	-0.96	30memhg19decoy	FalseDI26830XA
LP0020_03	-0.07	30memhg19decoy	FalseDI26830XA
LP0020_06	2.1	30memhg19decoy	FalseDI26830XA
LP0025_07_L004	0.78	30memhg19decoy	FalseDI26830XA
LP0025_12_L003	-1.15	30memhg19decoy	FalseDI26830XA
LP0025_17_L003	-1.55	30memhg19decoy	FalseDI26830XA
LP0026_22_L003	0.33	30memhg19decoy	FalseDI26830XA
LP0025_05_L003	-0.36	30memhg19decoy	FalseDI26830XA
LP0027_39_L003	-0.11	30memhg19decoy	FalseDI26830XA
LP0025_03_L003	0.77	30memhg19decoy	FalseDI26830XA
LP0020_07	0.15	30memhg19decoy	FalseDI26830XA
LP0026_05_L003	0.58	30memhg19decoy	FalseDI26830XA
LP0025_01_L004	0.62	30memhg19decoy	FalseDI26830XA
LP0025_21_L004	0.16	30memhg19decoy	FalseDI26830XA
LP0027_26_L003	0.59	30memhg19decoy	FalseDI26830XA
LP0020_08	-0.36	30memhg19decoy	FalseDI26830XA
LP0027_35_L003	0.82	30memhg19decoy	FalseDI26830XA
LP0026_42_L004	1.27	30memhg19decoy	FalseDI26830XA
LP0026_38_L004	1.52	30memhg19decoy	FalseDI26830XA
LP0025_02_L004	-0.16	30memhg19decoy	FalseDI26830XA
LP0026_08_L003	0.05	30memhg19decoy	FalseDI26830XA
LP0025_10_L003	-0.28	30memhg19decoy	FalseDI26830XA
LP0029_02_L004	-1.25	30memhg19decoy	FalseDI26830XA
LP0020_02	0.8	30memhg19decoy	FalseDI26830XA
LP0029_04_L003	-2.01	30memhg19decoy	FalseDI26830XA
LP0020_05	1.08	30memhg19decoy	FalseDI26830XA
LP0026_26_L004	0.29	30memhg19decoy	FalseDI26830XA
LP0025_15_L003	0.14	30memhg19decoy	FalseDI26830XA
LP0029_06_L003	-1.57	30memhg19decoy	FalseDI26830XA
LP0025_24_L003	0.33	30memhg19decoy	FalseDI26830XA
LP0025_04_L004	1.09	30memhg19decoy	FalseDI26830XA
LP0026_07_L003	0.15	30memhg19decoy	FalseDI26830XA
LP0029_05_L004	-0.83	30memhg19decoy	FalseDI26830XA
LP0020_01	-0.34	30memhg19decoy	FalseDI26830XA
LP0025_08_L004	0.24	30memhg19decoy	FalseDI26830XA
LP0020_04	-0.09	30memhg19decoy	FalseDI26830XA
LP0028_01_L004	-0.6	30memhg19decoy	FalseDI26830XA
LP0025_11_L003	1.38	30memhg19decoy	True40
LP0025_06_L003	0.13	30memhg19decoy	True40
LP0030_05_L004	0.08	30memhg19decoy	True40
LP0030_03_L004	-0.85	30memhg19decoy	True40
LP0020_03	0.37	30memhg19decoy	True40
LP0020_06	1.66	30memhg19decoy	True40
LP0025_07_L004	0.5	30memhg19decoy	True40
LP0025_12_L003	-0.89	30memhg19decoy	True40
LP0025_17_L003	-1.91	30memhg19decoy	True40
LP0026_22_L003	0.51	30memhg19decoy	True40
LP0025_05_L003	-0.28	30memhg19decoy	True40
LP0027_39_L003	0.19	30memhg19decoy	True40
LP0025_03_L003	0.69	30memhg19decoy	True40
LP0020_07	0.83	30memhg19decoy	True40
LP0026_05_L003	0.73	30memhg19decoy	True40
LP0025_01_L004	0.87	30memhg19decoy	True40
LP0025_21_L004	-0.02	30memhg19decoy	True40
LP0027_26_L003	1.1	30memhg19decoy	True40
LP0020_08	-0.36	30memhg19decoy	True40
LP0027_35_L003	1.01	30memhg19decoy	True40
LP0026_42_L004	1.59	30memhg19decoy	True40
LP0026_38_L004	1.99	30memhg19decoy	True40
LP0025_02_L004	-0.51	30memhg19decoy	True40
LP0026_08_L003	0.3	30memhg19decoy	True40
LP0025_10_L003	0.04	30memhg19decoy	True40
LP0029_02_L004	-0.87	30memhg19decoy	True40
LP0020_02	0.26	30memhg19decoy	True40
LP0029_04_L003	-2.19	30memhg19decoy	True40
LP0020_05	1.12	30memhg19decoy	True40
LP0026_26_L004	0.56	30memhg19decoy	True40
LP0025_15_L003	0.5	30memhg19decoy	True40
LP0029_06_L003	-1.73	30memhg19decoy	True40
LP0025_24_L003	0.89	30memhg19decoy	True40
LP0025_04_L004	1.49	30memhg19decoy	True40
LP0026_07_L003	-0.13	30memhg19decoy	True40
LP0029_05_L004	-0.69	30memhg19decoy	True40
LP0020_01	-0.48	30memhg19decoy	True40
LP0025_08_L004	-0.01	30memhg19decoy	True40
LP0020_04	-0.16	30memhg19decoy	True40
LP0028_01_L004	-0.69	30memhg19decoy	True40
LP0025_11_L003	1.31	30memhg19decoy	TrueDI26830XA
LP0025_06_L003	0.02	30memhg19decoy	TrueDI26830XA
LP0030_05_L004	0.02	30memhg19decoy	TrueDI26830XA
LP0030_03_L004	-0.7	30memhg19decoy	TrueDI26830XA
LP0020_03	0.2	30memhg19decoy	TrueDI26830XA
LP0020_06	1.63	30memhg19decoy	TrueDI26830XA
LP0025_07_L004	1.11	30memhg19decoy	TrueDI26830XA
LP0025_12_L003	-0.98	30memhg19decoy	TrueDI26830XA
LP0025_17_L003	-1.46	30memhg19decoy	TrueDI26830XA
LP0026_22_L003	0.74	30memhg19decoy	TrueDI26830XA
LP0025_05_L003	-0.27	30memhg19decoy	TrueDI26830XA
LP0027_39_L003	-0.33	30memhg19decoy	TrueDI26830XA
LP0025_03_L003	0.74	30memhg19decoy	TrueDI26830XA
LP0020_07	0.42	30memhg19decoy	TrueDI26830XA
LP0026_05_L003	0.49	30memhg19decoy	TrueDI26830XA
LP0025_01_L004	0.95	30memhg19decoy	TrueDI26830XA
LP0025_21_L004	0.39	30memhg19decoy	TrueDI26830XA
LP0027_26_L003	0.22	30memhg19decoy	TrueDI26830XA
LP0020_08	-0.2	30memhg19decoy	TrueDI26830XA
LP0027_35_L003	0.82	30memhg19decoy	TrueDI26830XA
LP0026_42_L004	1.51	30memhg19decoy	TrueDI26830XA
LP0026_38_L004	2.14	30memhg19decoy	TrueDI26830XA
LP0025_02_L004	-0.07	30memhg19decoy	TrueDI26830XA
LP0026_08_L003	0.56	30memhg19decoy	TrueDI26830XA
LP0025_10_L003	0.03	30memhg19decoy	TrueDI26830XA
LP0029_02_L004	-1.29	30memhg19decoy	TrueDI26830XA
LP0020_02	0.65	30memhg19decoy	TrueDI26830XA
LP0029_04_L003	-2.0	30memhg19decoy	TrueDI26830XA
LP0020_05	0.65	30memhg19decoy	TrueDI26830XA
LP0026_26_L004	0.55	30memhg19decoy	TrueDI26830XA
LP0025_15_L003	0.33	30memhg19decoy	TrueDI26830XA
LP0029_06_L003	-1.46	30memhg19decoy	TrueDI26830XA
LP0025_24_L003	0.16	30memhg19decoy	TrueDI26830XA
LP0025_04_L004	1.09	30memhg19decoy	TrueDI26830XA
LP0026_07_L003	0.13	30memhg19decoy	TrueDI26830XA
LP0029_05_L004	-1.06	30memhg19decoy	TrueDI26830XA
LP0020_01	-0.13	30memhg19decoy	TrueDI26830XA
LP0025_08_L004	0.67	30memhg19decoy	TrueDI26830XA
LP0020_04	-1.23	30memhg19decoy	TrueDI26830XA
LP0028_01_L004	-0.43	30memhg19decoy	TrueDI26830XA
LP0025_11_L003	0.94	30memhg38	False40
LP0025_06_L003	-0.26	30memhg38	False40
LP0030_05_L004	0.11	30memhg38	False40
LP0030_03_L004	-0.99	30memhg38	False40
LP0020_03	-0.09	30memhg38	False40
LP0020_06	1.85	30memhg38	False40
LP0025_07_L004	0.99	30memhg38	False40
LP0025_12_L003	-1.39	30memhg38	False40
LP0025_17_L003	-1.77	30memhg38	False40
LP0026_22_L003	0.28	30memhg38	False40
LP0025_05_L003	-0.41	30memhg38	False40
LP0027_39_L003	-0.15	30memhg38	False40
LP0025_03_L003	0.84	30memhg38	False40
LP0020_07	0.03	30memhg38	False40
LP0026_05_L003	0.72	30memhg38	False40
LP0025_01_L004	0.49	30memhg38	False40
LP0025_21_L004	-0.17	30memhg38	False40
LP0027_26_L003	0.22	30memhg38	False40
LP0020_08	-0.14	30memhg38	False40
LP0027_35_L003	0.42	30memhg38	False40
LP0026_42_L004	1.22	30memhg38	False40
LP0026_38_L004	1.48	30memhg38	False40
LP0025_02_L004	-0.22	30memhg38	False40
LP0026_08_L003	0.11	30memhg38	False40
LP0025_10_L003	-0.51	30memhg38	False40
LP0029_02_L004	-1.3	30memhg38	False40
LP0020_02	0.79	30memhg38	False40
LP0029_04_L003	-2.11	30memhg38	False40
LP0020_05	1.36	30memhg38	False40
LP0026_26_L004	0.22	30memhg38	False40
LP0025_15_L003	-0.18	30memhg38	False40
LP0029_06_L003	-1.65	30memhg38	False40
LP0025_24_L003	0.23	30memhg38	False40
LP0025_04_L004	0.76	30memhg38	False40
LP0026_07_L003	-0.02	30memhg38	False40
LP0029_05_L004	-0.71	30memhg38	False40
LP0020_01	-0.23	30memhg38	False40
LP0025_08_L004	0.32	30memhg38	False40
LP0020_04	-0.11	30memhg38	False40
LP0028_01_L004	-0.84	30memhg38	False40
LP0025_11_L003	1.04	30memhg38	FalseDI26830XA
LP0025_06_L003	-0.39	30memhg38	FalseDI26830XA
LP0030_05_L004	-0.1	30memhg38	FalseDI26830XA
LP0030_03_L004	-0.85	30memhg38	FalseDI26830XA
LP0020_03	-0.08	30memhg38	FalseDI26830XA
LP0020_06	1.85	30memhg38	FalseDI26830XA
LP0025_07_L004	0.97	30memhg38	FalseDI26830XA
LP0025_12_L003	-1.36	30memhg38	FalseDI26830XA
